polygonid,elevation
10938,6
10938,5
10938,6
10938,5
10938,5
10939,9
10939,5
10939,7
10939,5
10939,5
10940,7
10940,6
10940,7
10940,6
10940,6
10941,5
10941,8
10941,6
10941,3
10941,4
10942,8
10942,7
10942,6
10942,12
10942,13
10943,7
10943,6
10943,8
10943,5
10943,6
10944,5
10944,8
10944,5
10944,6
10944,8
10945,10
10945,9
10945,7
10945,1
10945,7
10946,7
10946,7
10946,4
10946,6
10946,6
10947,5
10947,6
10947,6
10947,5
10947,8
10948,6
10948,7
10948,6
10948,3
10948,6
10949,3
10949,7
10949,6
10949,2
10949,3
10950,5
10950,7
10950,7
10950,5
10950,5
10951,8
10951,9
10951,6
10951,2
10951,7
10952,4
10952,7
10952,7
10952,4
10952,2
10953,6
10953,2
10953,1
10953,2
10953,5
10954,10
10954,6
10954,7
10954,7
10954,4
10955,14
10955,15
10955,15
10955,13
10955,13
10956,17
10956,14
10956,12
10956,13
10956,13
10957,13
10957,11
10957,13
10957,14
10957,14
