polygonid,elevation
10157,24
10157,26
10157,25
10157,21
10158,25
10158,22
10158,22
10158,22
10158,24
10159,24
10159,29
10159,26
10159,23
10159,31
10160,29
10160,31
10160,30
10160,27
10160,28
10161,27
10161,26
10161,26
10161,27
10161,25
10162,27
10162,28
10162,27
10162,29
10162,29
10163,30
10163,23
10163,30
10163,28
10163,26
10164,30
10164,30
10164,29
10164,29
10164,24
10165,29
10165,29
10165,30
10165,29
10165,29
10166,31
10166,33
10166,30
10166,29
10166,30
10167,29
10167,29
10167,31
10167,29
10167,25
10168,28
10168,30
10168,29
10168,30
10168,31
10169,30
10169,31
10169,26
10169,29
10169,29
10170,31
10170,29
10170,30
10170,29
10170,28
10171,31
10171,31
10171,32
10171,32
10171,33
10172,32
10172,31
10172,31
10172,32
10172,33
10173,32
10173,32
10173,32
10173,33
10173,33
10174,34
10174,32
10174,31
10174,34
10174,33
10175,32
10175,33
10175,33
10175,31
10175,30
10176,30
10176,28
10176,32
10176,26
10176,28
10177,27
