polygonid,elevation
14905,360
14905,220
14905,243
14906,469
14906,421
14906,470
14906,498
14906,435
14907,359
14907,389
14907,477
14907,435
14907,348
14908,274
14908,366
14908,185
14908,276
14908,218
14909,239
14909,478
14909,495
14909,513
14909,488
14910,434
14910,403
14910,439
14910,545
14910,527
14911,494
14911,455
14911,432
14911,537
14911,464
14912,466
14912,629
14912,626
14912,624
14912,540
14913,416
14913,180
14913,416
14913,176
14913,422
14914,408
14914,464
14914,208
14914,463
14914,434
14915,391
14915,395
14915,288
14915,377
14915,444
14916,242
14916,161
14916,175
14916,270
14916,118
14917,377
14917,183
14917,295
14917,304
14917,277
14918,229
14918,274
14918,206
14918,205
14918,245
14919,183
14919,163
14919,165
14919,188
14919,170
14920,155
14920,157
14920,151
14920,149
14920,155
14921,142
14921,146
14921,146
14921,140
14921,140
14922,148
14922,118
14922,135
14922,142
14922,126
14923,100
14923,157
14923,158
14923,148
14923,116
14924,125
14924,122
14924,130
14924,112
14924,121
14925,149
14925,161
