polygonid,elevation
20372,2
20372,7
20372,6
20373,8
20373,9
20373,10
20373,5
20373,14
20374,6
20374,2
20374,5
20374,8
20374,6
20375,3
20375,-1
20375,9
20375,5
20375,7
20376,3
20376,7
20376,2
20376,2
20376,3
20377,-1
20377,3
20377,2
20377,1
20377,-2
20378,6
20378,4
20378,3
20378,4
20378,3
20379,3
20379,3
20379,-3
20379,8
20379,4
20380,9
20380,8
20380,5
20380,12
20380,7
20381,2
20381,1
20381,2
20381,3
20381,1
20382,0
20382,3
20382,5
20382,1
20382,5
20383,4
20383,1
20383,3
20383,-2
20383,4
20384,1
20384,3
20384,6
20384,8
20384,2
20385,0
20385,2
20385,1
20385,1
20385,2
20386,-2
20386,-1
20386,2
20386,0
20386,1
20387,20
20387,18
20387,15
20387,20
20387,17
20388,18
20388,19
20388,18
20388,18
20388,20
20389,13
20389,16
20389,12
20389,19
20389,16
20390,16
20390,15
20390,12
20390,9
20390,11
20391,20
20391,15
20391,25
20391,15
20391,17
20392,7
20392,5
