polygonid,elevation
14122,115
14122,111
14122,106
14122,102
14123,97
14123,95
14123,108
14123,96
14123,97
14124,54
14124,33
14124,48
14124,39
14124,60
14125,29
14125,26
14125,26
14125,30
14125,16
14126,11
14126,17
14126,9
14126,-9
14126,10
14127,62
14127,10
14127,23
14127,11
14127,5
14128,96
14128,82
14128,62
14128,70
14128,71
14129,81
14129,77
14129,80
14129,76
14129,80
14130,68
14130,87
14130,82
14130,87
14130,88
14131,71
14131,68
14131,87
14131,90
14131,78
14132,31
14132,14
14132,57
14132,50
14132,25
14133,53
14133,69
14133,61
14133,66
14133,22
14134,57
14134,40
14134,13
14134,39
14134,15
14135,58
14135,92
14135,104
14135,93
14135,65
14136,90
14136,96
14136,97
14136,100
14136,93
14137,99
14137,90
14137,78
14137,78
14137,98
14138,71
14138,87
14138,71
14138,81
14138,89
14139,72
14139,44
14139,37
14139,50
14139,52
14140,32
14140,30
14140,32
14140,24
14140,22
14141,8
14141,5
14141,18
14141,7
14141,14
14142,84
