polygonid,elevation
14444,94
14445,171
14445,129
14445,126
14445,142
14445,210
14446,145
14446,167
14446,165
14446,171
14446,149
14447,90
14447,135
14447,120
14447,130
14447,126
14448,32
14448,46
14448,107
14448,72
14448,35
14449,134
14449,148
14449,149
14449,147
14449,151
14450,137
14450,149
14450,93
14450,109
14450,146
14451,57
14451,43
14451,54
14451,60
14451,42
14452,119
14452,101
14452,118
14452,91
14452,114
14453,100
14453,109
14453,96
14453,95
14453,105
14454,110
14454,83
14454,108
14454,112
14454,108
14455,113
14455,81
14455,105
14455,112
14455,90
14456,191
14456,215
14456,185
14456,170
14456,203
14457,170
14457,141
14457,172
14457,146
14457,183
14458,206
14458,220
14458,205
14458,221
14458,206
14459,210
14459,198
14459,208
14459,179
14459,224
14460,175
14460,168
14460,218
14460,150
14460,125
14461,194
14461,206
14461,181
14461,197
14461,205
14462,141
14462,130
14462,161
14462,182
14462,93
14463,148
14463,188
14463,177
14463,167
14463,161
14464,160
14464,145
14464,204
14464,200
