polygonid,elevation
8875,51
8875,50
8875,53
8875,49
8875,52
8876,48
8876,50
8876,48
8876,48
8876,52
8877,40
8877,47
8877,48
8877,41
8877,43
8878,48
8878,47
8878,47
8878,48
8878,49
8879,48
8879,52
8879,52
8879,52
8879,53
8880,54
8880,51
8880,51
8880,58
8880,55
8881,50
8881,52
8881,49
8881,51
8881,50
8882,48
8882,48
8882,50
8882,56
8882,49
8883,51
8883,54
8883,52
8883,51
8883,53
8884,52
8884,58
8884,53
8884,52
8884,55
8885,32
8885,31
8885,40
8885,33
8885,24
8886,45
8886,46
8886,50
8886,51
8886,53
8887,48
8887,53
8887,44
8887,48
8887,60
8888,51
8888,75
8888,60
8888,65
8888,69
8889,51
8889,52
8889,45
8889,61
8889,46
8890,50
8890,49
8890,54
8890,53
8890,48
8891,57
8891,51
8891,53
8891,55
8891,54
8892,54
8892,52
8892,52
8892,54
8892,57
8893,58
8893,56
8893,56
8893,52
8893,53
8894,56
8894,56
8894,57
8894,55
8894,57
