polygonid,elevation
14002,45
14002,27
14002,113
14002,114
14002,102
14003,102
14003,116
14003,66
14003,105
14003,108
14004,122
14004,109
14004,92
14004,119
14004,99
14005,132
14005,131
14005,124
14005,132
14005,128
14006,127
14006,128
14006,127
14006,126
14006,125
14007,121
14007,127
14007,129
14007,126
14007,125
14008,128
14008,125
14008,126
14008,132
14008,129
14009,131
14009,134
14009,129
14009,134
14009,134
14010,61
14010,100
14010,127
14010,128
14010,81
14011,118
14011,121
14011,118
14011,101
14011,112
14012,145
14012,151
14012,158
14012,151
14012,147
14013,148
14013,140
14013,142
14013,145
14013,143
14014,146
14014,144
14014,145
14014,144
14014,147
14015,140
14015,139
14015,139
14015,140
14015,143
14016,136
14016,135
14016,130
14016,136
14016,132
14017,136
14017,132
14017,140
14017,136
14017,132
14018,144
14018,133
14018,141
14018,141
14018,125
14019,144
14019,149
14019,132
14019,142
14019,152
14020,138
14020,144
14020,147
14020,158
14020,137
14021,135
14021,131
14021,130
14021,144
14021,132
