polygonid,elevation
7753,20
7754,17
7754,18
7754,19
7754,15
7754,17
7755,22
7755,17
7755,18
7755,20
7755,15
7756,16
7756,18
7756,21
7756,19
7756,18
7757,17
7757,18
7757,18
7757,19
7757,18
7758,18
7758,15
7758,19
7758,17
7758,19
7759,19
7759,19
7759,20
7759,20
7759,18
7760,20
7760,17
7760,17
7760,17
7760,19
7761,40
7761,38
7761,56
7761,31
7761,55
7762,51
7762,38
7762,47
7762,36
7762,34
7763,35
7763,28
7763,30
7763,38
7763,37
7764,28
7764,17
7764,30
7764,25
7764,20
7765,61
7765,64
7765,64
7765,58
7765,62
7766,58
7766,59
7766,57
7766,59
7766,56
7767,51
7767,51
7767,46
7767,54
7767,43
7768,36
7768,33
7768,44
7768,42
7768,49
7769,50
7769,44
7769,56
7769,52
7769,57
7770,45
7770,36
7770,24
7770,39
7770,39
7771,16
7771,18
7771,24
7771,23
7771,21
7772,22
7772,21
7772,20
7772,19
7772,20
7773,25
7773,20
7773,24
7773,20
