polygonid,elevation
18169,453
18170,48
18170,44
18170,43
18170,43
18170,44
18171,42
18171,42
18171,40
18171,42
18171,40
18172,43
18172,43
18172,37
18172,43
18172,42
18173,723
18173,689
18173,728
18173,741
18173,730
18174,705
18174,707
18174,669
18174,683
18174,703
18175,656
18175,668
18175,674
18175,656
18175,657
18176,626
18176,625
18176,629
18176,631
18176,643
18177,601
18177,601
18177,589
18177,590
18177,618
18178,624
18178,602
18178,610
18178,600
18178,610
18179,603
18179,638
18179,605
18179,637
18179,603
18180,575
18180,556
18180,558
18180,570
18180,562
18181,827
18181,844
18181,847
18181,859
18181,859
18182,878
18182,877
18182,890
18182,881
18182,882
18183,917
18183,899
18183,903
18183,898
18183,900
18184,928
18184,914
18184,928
18184,937
18184,928
18185,924
18185,924
18185,924
18185,920
18185,924
18186,900
18186,897
18186,903
18186,903
18186,903
18187,921
18187,921
18187,906
18187,921
18187,906
18188,905
18188,896
18188,886
18188,869
18188,882
18189,691
18189,683
18189,690
18189,690
