polygonid,elevation
4728,7
4728,3
4728,3
4729,44
4729,45
4729,46
4729,46
4729,49
4730,46
4730,41
4730,51
4730,45
4730,41
4731,50
4731,47
4731,55
4731,46
4731,50
4732,56
4732,43
4732,54
4732,50
4732,42
4733,58
4733,46
4733,58
4733,53
4733,42
4734,57
4734,52
4734,60
4734,57
4734,53
4735,62
4735,51
4735,48
4735,57
4735,50
4736,49
4736,49
4736,54
4736,56
4736,58
4737,42
4737,44
4737,46
4737,44
4737,38
4738,38
4738,23
4738,34
4738,30
4738,36
4739,35
4739,30
4739,38
4739,29
4739,35
4740,38
4740,34
4740,35
4740,37
4740,36
4741,34
4741,39
4741,32
4741,33
4741,37
4742,36
4742,33
4742,43
4742,34
4742,34
4743,33
4743,32
4743,32
4743,33
4743,31
4744,41
4744,39
4744,36
4744,38
4744,40
4745,36
4745,37
4745,40
4745,35
4745,35
4746,44
4746,43
4746,41
4746,45
4746,35
4747,42
4747,45
4747,40
4747,43
4747,43
4748,9
4748,36
