polygonid,elevation
16247,157
16248,87
16248,97
16248,91
16248,97
16248,101
16249,139
16249,225
16249,90
16249,282
16249,92
16250,73
16250,72
16250,65
16250,69
16250,82
16251,49
16251,49
16251,43
16251,46
16251,48
16252,38
16252,43
16252,43
16252,67
16252,65
16253,54
16253,66
16253,50
16253,75
16253,100
16254,38
16254,37
16254,46
16254,39
16254,44
16255,51
16255,46
16255,135
16255,39
16255,140
16256,119
16256,143
16256,144
16256,139
16256,132
16257,214
16257,385
16257,361
16257,94
16257,232
16258,41
16258,38
16258,26
16258,42
16258,39
16259,270
16259,412
16259,377
16259,67
16259,63
16260,361
16260,64
16260,113
16260,214
16260,375
16261,79
16261,100
16261,35
16261,64
16261,73
16262,64
16262,64
16262,64
16262,64
16262,64
16263,12
16263,45
16263,26
16263,34
16263,21
16264,19
16264,39
16264,20
16264,19
16264,17
16265,0
16265,14
16265,8
16265,34
16265,19
16266,6
16266,5
16266,8
16266,6
16266,12
16267,62
16267,51
16267,57
16267,62
