polygonid,elevation
11758,350
11759,321
11759,251
11759,393
11759,305
11759,358
11760,546
11760,545
11760,802
11760,437
11760,839
11761,355
11761,486
11761,265
11761,343
11761,253
11762,291
11762,406
11762,109
11762,313
11762,49
11763,396
11763,338
11763,338
11763,362
11763,363
11764,362
11764,344
11764,328
11764,388
11764,366
11765,329
11765,324
11765,296
11765,286
11765,326
11766,287
11766,286
11766,297
11766,310
11766,285
11767,283
11767,268
11767,265
11767,294
11767,267
11768,329
11768,338
11768,351
11768,337
11768,328
11769,345
11769,341
11769,367
11769,288
11769,352
11770,264
11770,282
11770,285
11770,282
11770,334
11771,389
11771,481
11771,404
11771,478
11771,573
11772,143
11772,141
11772,141
11772,139
11772,131
11773,701
11773,304
11773,591
11773,661
11773,778
11774,138
11774,144
11774,139
11774,142
11774,142
11775,218
11775,175
11775,182
11775,166
11775,194
11776,547
11776,1137
11776,202
11776,631
11776,238
11777,157
11777,164
11777,167
11777,182
11777,179
11778,162
11778,159
11778,170
11778,163
