polygonid,elevation
9616,85
9616,85
9617,83
9617,90
9617,83
9617,90
9617,82
9618,83
9618,74
9618,77
9618,83
9618,77
9619,78
9619,79
9619,77
9619,83
9619,72
9620,83
9620,90
9620,88
9620,78
9620,83
9621,64
9621,68
9621,66
9621,67
9621,68
9622,71
9622,72
9622,71
9622,78
9622,74
9623,94
9623,93
9623,99
9623,97
9623,93
9624,83
9624,93
9624,86
9624,94
9624,90
9625,83
9625,84
9625,84
9625,87
9625,91
9626,75
9626,77
9626,76
9626,83
9626,86
9627,114
9627,114
9627,118
9627,117
9627,115
9628,112
9628,112
9628,117
9628,112
9628,115
9629,97
9629,107
9629,107
9629,105
9629,114
9630,106
9630,101
9630,112
9630,105
9630,101
9631,76
9631,71
9631,69
9631,73
9631,72
9632,67
9632,65
9632,64
9632,66
9632,73
9633,80
9633,75
9633,83
9633,73
9633,81
9634,70
9634,74
9634,69
9634,68
9634,72
9635,66
9635,71
9635,74
9635,69
9635,68
9636,75
9636,71
9636,74
