polygonid,elevation
21354,24
21354,26
21354,25
21355,264
21355,170
21355,252
21355,30
21355,227
21356,9
21356,18
21356,15
21356,23
21356,25
21357,19
21357,18
21357,20
21357,21
21357,19
21358,15
21358,17
21358,13
21358,17
21358,12
21359,10
21359,12
21359,8
21359,16
21359,5
21360,7
21360,11
21360,6
21360,8
21360,10
21361,7
21361,9
21361,7
21361,9
21361,7
21362,4
21362,3
21362,1
21362,2
21362,2
21363,6
21363,5
21363,6
21363,6
21363,4
21364,4
21364,4
21364,7
21364,4
21364,10
21365,16
21365,10
21365,14
21365,4
21365,8
21366,9
21366,1
21366,2
21366,2
21366,-2
21367,-3
21367,-2
21367,-3
21367,-3
21367,-3
21368,13
21368,12
21368,15
21368,12
21368,13
21369,11
21369,10
21369,12
21369,12
21369,11
21370,11
21370,7
21370,9
21370,7
21370,11
21371,9
21371,9
21371,13
21371,12
21371,10
21372,18
21372,14
21372,16
21372,15
21372,18
21373,13
21373,12
21373,16
21373,12
21373,13
21374,11
21374,10
