polygonid,elevation
18049,49
18049,54
18050,45
18050,45
18050,47
18050,47
18050,42
18051,67
18051,63
18051,66
18051,67
18051,64
18052,65
18052,65
18052,64
18052,64
18052,66
18053,64
18053,65
18053,63
18053,67
18053,74
18054,68
18054,115
18054,95
18054,102
18054,124
18055,46
18055,50
18055,46
18055,49
18055,48
18056,51
18056,49
18056,48
18056,49
18056,48
18057,49
18057,48
18057,48
18057,47
18057,48
18058,50
18058,49
18058,49
18058,49
18058,47
18059,51
18059,51
18059,54
18059,51
18059,51
18060,61
18060,53
18060,54
18060,64
18060,58
18061,55
18061,54
18061,51
18061,65
18061,54
18062,77
18062,78
18062,80
18062,61
18062,61
18063,57
18063,91
18063,56
18063,63
18063,58
18064,57
18064,53
18064,54
18064,54
18064,54
18065,55
18065,55
18065,55
18065,56
18065,55
18066,56
18066,57
18066,55
18066,57
18066,55
18067,57
18067,56
18067,58
18067,58
18067,58
18068,48
18068,49
18068,48
18068,48
18068,46
18069,49
18069,48
18069,49
