polygonid,elevation
21094,43
21094,42
21094,47
21094,41
21094,45
21095,40
21095,63
21095,35
21095,42
21095,42
21096,50
21096,49
21096,45
21096,40
21096,47
21097,19
21097,19
21097,17
21097,20
21097,23
21098,26
21098,25
21098,26
21098,25
21098,25
21099,27
21099,26
21099,26
21099,23
21099,24
21100,21
21100,22
21100,21
21100,20
21100,19
21101,16
21101,20
21101,17
21101,17
21101,18
21102,17
21102,18
21102,19
21102,20
21102,16
21103,20
21103,20
21103,22
21103,21
21103,22
21104,18
21104,20
21104,17
21104,18
21104,17
21105,14
21105,14
21105,14
21105,16
21105,17
21106,16
21106,13
21106,14
21106,14
21106,13
21107,16
21107,16
21107,9
21107,9
21107,9
21108,17
21108,16
21108,13
21108,15
21108,17
21109,6
21109,4
21109,8
21109,7
21109,6
21110,6
21110,10
21110,6
21110,8
21110,9
21111,2
21111,5
21111,5
21111,4
21111,4
21112,0
21112,1
21112,6
21112,0
21112,2
21113,3
21113,1
21113,4
21113,1
21113,6
