polygonid,elevation
9036,16
9036,14
9036,14
9036,13
9036,14
9037,18
9037,15
9037,18
9037,18
9037,20
9038,15
9038,17
9038,16
9038,16
9038,17
9039,14
9039,15
9039,13
9039,16
9039,13
9040,18
9040,17
9040,14
9040,14
9040,14
9041,17
9041,12
9041,14
9041,20
9041,13
9042,16
9042,20
9042,17
9042,13
9042,18
9043,18
9043,18
9043,14
9043,14
9043,14
9044,14
9044,15
9044,14
9044,17
9044,16
9045,15
9045,15
9045,14
9045,12
9045,13
9046,8
9046,12
9046,7
9046,12
9046,13
9047,11
9047,12
9047,13
9047,11
9047,12
9048,9
9048,9
9048,14
9048,10
9048,15
9049,15
9049,11
9049,12
9049,11
9049,12
9050,14
9050,12
9050,18
9050,12
9050,16
9051,1
9051,3
9051,2
9051,3
9051,54
9052,55
9052,51
9052,34
9052,5
9052,50
9053,7
9053,11
9053,9
9053,5
9053,7
9054,30
9054,6
9054,96
9054,7
9054,105
9055,13
9055,35
9055,16
9055,11
9055,21
