polygonid,elevation
1123,100
1123,97
1123,99
1123,97
1124,94
1124,99
1124,96
1124,96
1124,95
1125,99
1125,97
1125,99
1125,99
1125,97
1126,97
1126,104
1126,101
1126,100
1126,104
1127,98
1127,94
1127,92
1127,98
1127,94
1128,95
1128,96
1128,96
1128,95
1128,93
1129,94
1129,93
1129,91
1129,97
1129,93
1130,92
1130,97
1130,97
1130,100
1130,97
1131,90
1131,90
1131,91
1131,86
1131,90
1132,102
1132,98
1132,93
1132,98
1132,92
1133,108
1133,102
1133,103
1133,100
1133,100
1134,98
1134,99
1134,96
1134,95
1134,98
1135,98
1135,102
1135,98
1135,96
1135,95
1136,94
1136,89
1136,90
1136,89
1136,93
1137,91
1137,96
1137,94
1137,92
1137,96
1138,95
1138,88
1138,96
1138,87
1138,93
1139,84
1139,93
1139,88
1139,90
1139,91
1140,87
1140,81
1140,86
1140,85
1140,87
1141,88
1141,88
1141,93
1141,90
1141,88
1142,83
1142,83
1142,80
1142,83
1142,80
1143,84
