polygonid,elevation
981,776
982,508
982,451
982,584
982,547
982,580
983,541
983,599
983,552
983,271
983,579
984,403
984,526
984,548
984,599
984,558
985,734
985,831
985,851
985,744
985,810
986,687
986,698
986,764
986,863
986,685
987,426
987,953
987,992
987,804
987,860
988,1160
988,1185
988,1540
988,1671
988,1321
989,2355
989,1957
989,2201
989,2262
989,1971
990,236
990,226
990,231
990,127
990,178
991,314
991,295
991,278
991,231
991,275
992,242
992,233
992,231
992,219
992,207
993,218
993,238
993,259
993,359
993,228
994,210
994,380
994,267
994,303
994,289
995,431
995,412
995,422
995,303
995,461
996,401
996,405
996,390
996,402
996,378
997,360
997,354
997,397
997,372
997,427
998,412
998,355
998,424
998,369
998,406
999,372
999,371
999,391
999,377
999,371
1000,409
1000,393
1000,397
1000,379
1000,332
1001,429
1001,421
1001,454
1001,450
