polygonid,elevation
5971,127
5971,125
5971,125
5971,129
5971,131
5972,140
5972,137
5972,139
5972,131
5972,137
5973,143
5973,142
5973,136
5973,145
5973,140
5974,133
5974,131
5974,132
5974,135
5974,135
5975,145
5975,144
5975,141
5975,143
5975,145
5976,152
5976,146
5976,156
5976,149
5976,153
5977,134
5977,145
5977,140
5977,141
5977,145
5978,148
5978,159
5978,151
5978,153
5978,158
5979,152
5979,153
5979,156
5979,150
5979,153
5980,147
5980,140
5980,145
5980,140
5980,144
5981,155
5981,150
5981,156
5981,158
5981,159
5982,145
5982,150
5982,146
5982,155
5982,149
5983,156
5983,151
5983,148
5983,150
5983,152
5984,155
5984,157
5984,154
5984,164
5984,160
5985,154
5985,156
5985,156
5985,156
5985,158
5986,158
5986,163
5986,156
5986,160
5986,162
5987,155
5987,159
5987,164
5987,162
5987,161
5988,169
5988,169
5988,167
5988,157
5988,160
5989,173
5989,163
5989,179
5989,170
5989,169
5990,175
5990,168
5990,168
5990,164
5990,165
