polygonid,elevation
13780,39
13781,31
13781,24
13781,21
13781,20
13781,19
13782,15
13782,22
13782,12
13782,17
13782,27
13783,45
13783,49
13783,43
13783,48
13783,45
13784,25
13784,24
13784,23
13784,24
13784,28
13785,19
13785,23
13785,22
13785,25
13785,18
13786,24
13786,34
13786,40
13786,36
13786,28
13787,34
13787,32
13787,33
13787,31
13787,23
13788,20
13788,27
13788,21
13788,25
13788,23
13789,32
13789,29
13789,29
13789,28
13789,28
13790,26
13790,24
13790,29
13790,25
13790,29
13791,22
13791,22
13791,21
13791,22
13791,20
13792,12
13792,14
13792,15
13792,13
13792,16
13793,26
13793,19
13793,19
13793,19
13793,16
13794,1
13794,4
13794,4
13794,5
13794,0
13795,18
13795,19
13795,17
13795,8
13795,23
13796,11
13796,5
13796,13
13796,5
13796,9
13798,0
13798,0
13798,2
13798,2
13798,2
13799,10
13799,8
13799,4
13799,8
13799,7
13800,5
13800,4
13800,13
13800,15
13800,12
13801,2
13801,5
13801,3
13801,3
