polygonid,elevation
14545,188
14545,172
14545,183
14545,186
14545,184
14546,190
14546,198
14546,192
14546,191
14546,189
14547,209
14547,217
14547,213
14547,222
14547,222
14548,200
14548,205
14548,191
14548,208
14548,209
14549,206
14549,198
14549,200
14549,188
14549,211
14550,200
14550,206
14550,194
14550,200
14550,187
14551,281
14551,255
14551,287
14551,206
14551,279
14552,261
14552,361
14552,218
14552,236
14552,360
14553,193
14553,168
14553,191
14553,241
14553,163
14554,202
14554,200
14554,236
14554,202
14554,220
14555,140
14555,145
14555,143
14555,144
14555,147
14556,145
14556,144
14556,144
14556,142
14556,141
14557,286
14557,266
14557,273
14557,227
14557,270
14558,174
14558,187
14558,169
14558,180
14558,161
14559,271
14559,220
14559,216
14559,219
14559,257
14560,166
14560,168
14560,214
14560,169
14560,152
14561,243
14561,236
14561,195
14561,238
14561,219
14562,207
14562,217
14562,228
14562,236
14562,257
14563,232
14563,220
14563,247
14563,216
14563,201
14564,157
14564,213
14564,213
14564,158
14564,193
