polygonid,elevation
13500,97
13500,95
13501,90
13501,36
13501,49
13501,88
13501,84
13502,96
13502,104
13502,96
13502,104
13502,96
13503,91
13503,91
13503,92
13503,94
13503,92
13504,84
13504,91
13504,91
13504,90
13504,94
13505,93
13505,89
13505,90
13505,91
13505,80
13506,93
13506,85
13506,88
13506,88
13506,91
13507,90
13507,84
13507,88
13507,90
13507,89
13508,85
13508,79
13508,80
13508,86
13508,100
13509,100
13509,99
13509,95
13509,100
13509,101
13510,97
13510,101
13510,97
13510,96
13510,96
13511,91
13511,96
13511,93
13511,88
13511,90
13512,105
13512,83
13512,98
13512,92
13512,105
13513,88
13513,100
13513,98
13513,104
13513,92
13514,103
13514,92
13514,107
13514,107
13514,93
13515,108
13515,110
13515,105
13515,110
13515,111
13516,109
13516,102
13516,106
13516,106
13516,108
13517,108
13517,107
13517,104
13517,98
13517,101
13518,96
13518,102
13518,107
13518,104
13518,100
13519,126
13519,121
13519,123
13519,100
13519,98
13520,119
13520,123
13520,123
