polygonid,elevation
11999,5
11999,9
11999,6
11999,6
11999,12
12000,10
12000,10
12000,10
12000,9
12000,6
12001,9
12001,9
12001,15
12001,8
12001,9
12002,8
12002,7
12002,6
12002,6
12002,6
12003,8
12003,10
12003,10
12003,7
12003,7
12004,1
12004,9
12004,8
12004,8
12004,10
12005,10
12005,9
12005,12
12005,8
12005,12
12006,8
12006,9
12006,9
12006,10
12006,11
12007,8
12007,11
12007,8
12007,10
12007,8
12008,7
12008,7
12008,14
12008,7
12008,12
12009,13
12009,12
12009,9
12009,12
12009,12
12010,12
12010,10
12010,15
12010,12
12010,12
12011,11
12011,16
12011,12
12011,9
12011,13
12012,10
12012,9
12012,13
12012,13
12012,12
12013,14
12013,13
12013,13
12013,8
12013,11
12014,14
12014,15
12014,10
12014,15
12014,14
12015,15
12015,12
12015,16
12015,15
12015,15
12016,13
12016,14
12016,14
12016,17
12016,15
12017,10
12017,10
12017,11
12017,12
12017,12
12018,13
12018,11
12018,11
12018,10
12018,9
