polygonid,elevation
501,47
501,40
501,41
502,34
502,35
502,37
502,35
502,36
503,37
503,38
503,34
503,40
503,35
504,89
504,91
504,100
504,89
504,89
505,78
505,75
505,78
505,81
505,77
506,72
506,72
506,68
506,73
506,70
507,78
507,81
507,77
507,78
507,74
508,97
508,91
508,94
508,99
508,82
509,84
509,83
509,91
509,93
509,90
510,68
510,71
510,70
510,73
510,76
511,64
511,68
511,62
511,64
511,68
512,67
512,70
512,68
512,65
512,66
513,63
513,61
513,61
513,63
513,63
514,61
514,54
514,58
514,61
514,60
515,56
515,54
515,53
515,53
515,54
516,54
516,58
516,59
516,56
516,55
517,55
517,60
517,51
517,61
517,49
518,97
518,97
518,97
518,93
518,93
519,84
519,91
519,91
519,84
519,91
520,72
520,65
520,70
520,60
520,75
521,69
521,71
