polygonid,elevation
20012,157
20012,98
20012,161
20012,132
20012,162
20013,107
20013,117
20013,136
20013,102
20013,115
20014,78
20014,78
20014,70
20014,79
20014,85
20015,91
20015,94
20015,83
20015,113
20015,96
20016,126
20016,122
20016,190
20016,132
20016,114
20017,84
20017,89
20017,70
20017,89
20017,66
20018,93
20018,96
20018,87
20018,98
20018,101
20019,89
20019,78
20019,86
20019,82
20019,83
20020,197
20020,113
20020,227
20020,213
20020,102
20021,313
20021,100
20021,434
20021,204
20021,205
20022,4
20022,579
20022,322
20022,8
20022,108
20023,207
20023,287
20023,133
20023,51
20023,169
20024,49
20024,57
20024,52
20024,65
20024,55
20025,59
20025,54
20025,55
20025,58
20025,69
20026,76
20026,65
20026,76
20026,67
20026,64
20027,49
20027,58
20027,43
20027,45
20027,42
20028,46
20028,42
20028,46
20028,41
20028,37
20029,75
20029,80
20029,79
20029,78
20029,81
20030,70
20030,70
20030,65
20030,60
20030,72
20031,55
20031,52
20031,56
20031,56
20031,59
