polygonid,elevation
19351,29
19351,30
19351,31
19352,34
19352,28
19352,31
19352,30
19352,15
19353,33
19353,29
19353,32
19353,34
19353,31
19354,27
19354,32
19354,30
19354,33
19354,30
19355,28
19355,28
19355,30
19355,28
19355,35
19356,27
19356,29
19356,25
19356,27
19356,31
19357,31
19357,26
19357,26
19357,28
19357,27
19358,28
19358,26
19358,27
19358,33
19358,37
19359,26
19359,30
19359,24
19359,29
19359,21
19360,30
19360,22
19360,23
19360,20
19360,31
19361,10
19361,28
19361,26
19361,22
19361,27
19362,22
19362,26
19362,26
19362,26
19362,18
19363,23
19363,26
19363,26
19363,21
19363,22
19364,24
19364,21
19364,24
19364,24
19364,29
19365,17
19365,20
19365,28
19365,23
19365,18
19366,28
19366,26
19366,28
19366,25
19366,27
19367,25
19367,23
19367,27
19367,24
19367,24
19368,21
19368,26
19368,26
19368,28
19368,23
19369,25
19369,24
19369,32
19369,27
19369,32
19370,22
19370,27
19370,25
19370,24
19370,27
19371,22
19371,26
