polygonid,elevation
14424,64
14425,84
14425,43
14425,46
14425,42
14425,65
14426,70
14426,61
14426,72
14426,61
14426,63
14427,62
14427,46
14427,52
14427,49
14427,40
14428,69
14428,75
14428,64
14428,70
14428,65
14429,30
14429,29
14429,38
14429,43
14429,37
14430,102
14430,98
14430,97
14430,102
14430,86
14431,102
14431,93
14431,99
14431,99
14431,108
14432,88
14432,82
14432,93
14432,89
14432,82
14433,80
14433,94
14433,88
14433,87
14433,91
14434,64
14434,64
14434,62
14434,68
14434,59
14435,65
14435,43
14435,33
14435,61
14435,33
14436,110
14436,162
14436,67
14436,154
14436,178
14437,52
14437,53
14437,82
14437,61
14437,49
14438,56
14438,54
14438,66
14438,48
14438,74
14439,133
14439,85
14439,101
14439,70
14439,93
14440,74
14440,102
14440,82
14440,32
14440,136
14441,76
14441,59
14441,86
14441,99
14441,72
14442,27
14442,29
14442,31
14442,46
14442,27
14443,28
14443,98
14443,86
14443,51
14443,71
14444,101
14444,96
14444,82
14444,66
