polygonid,elevation
781,22
781,12
782,7
782,9
782,3
782,5
782,7
783,7
783,4
783,8
783,2
783,2
784,12
784,11
784,10
784,11
784,10
785,2
785,-1
785,-2
785,6
785,2
786,4
786,5
786,3
786,3
786,3
787,2
787,3
787,-3
787,2
787,7
788,1
788,-1
788,1
788,10
788,1
789,9
789,45
789,72
789,21
789,44
790,8
790,20
790,13
790,43
790,7
791,13
791,13
791,12
791,12
791,12
792,11
792,8
792,10
792,10
792,9
793,9
793,10
793,9
793,12
793,9
794,8
794,11
794,7
794,10
794,10
795,81
795,81
795,78
795,77
795,87
796,75
796,49
796,80
796,56
796,44
797,62
797,58
797,49
797,42
797,22
798,76
798,76
798,61
798,73
798,74
799,23
799,24
799,30
799,23
799,19
800,15
800,21
800,15
800,18
800,15
801,26
801,24
801,25
