polygonid,elevation
19491,744
19491,741
19491,756
19492,678
19492,664
19492,662
19492,685
19492,669
19493,654
19493,643
19493,647
19493,643
19493,643
19494,652
19494,650
19494,646
19494,650
19494,643
19495,648
19495,656
19495,646
19495,649
19495,649
19496,883
19496,903
19496,903
19496,827
19496,769
19497,989
19497,981
19497,991
19497,991
19497,1018
19498,931
19498,943
19498,945
19498,912
19498,964
19499,1122
19499,1125
19499,1090
19499,1098
19499,1135
19500,937
19500,961
19500,947
19500,972
19500,962
19501,945
19501,955
19501,946
19501,968
19501,1023
19502,973
19502,967
19502,977
19502,973
19502,973
19503,881
19503,888
19503,906
19503,908
19503,915
19504,997
19504,995
19504,993
19504,998
19504,998
19505,1035
19505,1046
19505,1026
19505,1037
19505,1037
19506,1010
19506,986
19506,1009
19506,987
19506,994
19507,28
19507,30
19507,28
19507,32
19507,29
19508,15
19508,20
19508,18
19508,18
19508,20
19509,18
19509,21
19509,19
19509,20
19509,19
19510,22
19510,20
19510,18
19510,18
19510,21
19511,20
19511,19
