polygonid,elevation
17589,17
17589,21
17589,22
17589,18
17590,25
17590,26
17590,25
17590,26
17590,26
17591,33
17591,33
17591,39
17591,42
17591,29
17592,28
17592,29
17592,31
17592,25
17592,25
17593,24
17593,26
17593,24
17593,25
17593,27
17594,29
17594,25
17594,32
17594,30
17594,29
17595,38
17595,32
17595,33
17595,32
17595,32
17596,32
17596,32
17596,31
17596,34
17596,34
17597,34
17597,35
17597,40
17597,33
17597,32
17598,28
17598,28
17598,32
17598,31
17598,30
17599,26
17599,26
17599,27
17599,28
17599,23
17600,29
17600,26
17600,24
17600,28
17600,28
17601,35
17601,28
17601,26
17601,29
17601,30
17602,31
17602,26
17602,30
17602,28
17602,27
17603,25
17603,27
17603,26
17603,24
17603,27
17604,34
17604,34
17604,35
17604,33
17604,33
17605,36
17605,38
17605,41
17605,39
17605,37
17606,39
17606,37
17606,39
17606,33
17606,40
17607,36
17607,28
17607,29
17607,29
17607,32
17608,37
17608,40
17608,39
17608,39
17608,38
17609,37
