polygonid,elevation
11698,679
11699,516
11699,705
11699,678
11699,672
11699,702
11700,558
11700,552
11700,571
11700,573
11700,542
11701,538
11701,541
11701,547
11701,543
11701,536
11702,517
11702,536
11702,541
11702,537
11702,544
11703,587
11703,733
11703,685
11703,701
11703,672
11704,774
11704,808
11704,773
11704,817
11704,771
11705,743
11705,752
11705,753
11705,736
11705,760
11706,775
11706,770
11706,745
11706,743
11706,759
11707,1028
11707,1052
11707,897
11707,853
11707,1110
11708,799
11708,782
11708,823
11708,848
11708,845
11709,1040
11709,980
11709,1011
11709,994
11709,1179
11710,819
11710,868
11710,857
11710,808
11710,823
11711,667
11711,597
11711,683
11711,641
11711,528
11712,732
11712,692
11712,697
11712,712
11712,621
11713,608
11713,606
11713,723
11713,602
11713,724
11714,821
11714,797
11714,794
11714,795
11714,793
11715,771
11715,771
11715,756
11715,766
11715,741
11716,765
11716,1094
11716,772
11716,1533
11716,1304
11717,1975
11717,759
11717,968
11717,779
11717,811
11718,583
11718,482
11718,615
11718,531
