polygonid,elevation
4268,44
4268,45
4268,45
4268,44
4268,44
4269,43
4269,47
4269,40
4269,46
4269,45
4270,46
4270,47
4270,45
4270,45
4270,47
4271,46
4271,45
4271,46
4271,47
4271,47
4272,47
4272,46
4272,48
4272,44
4272,48
4273,47
4273,46
4273,48
4273,46
4273,46
4274,46
4274,46
4274,45
4274,46
4274,46
4275,45
4275,46
4275,46
4275,48
4275,46
4276,43
4276,44
4276,46
4276,48
4276,47
4277,45
4277,45
4277,43
4277,45
4277,46
4278,43
4278,44
4278,47
4278,47
4278,47
4279,44
4279,44
4279,52
4279,46
4279,47
4280,47
4280,43
4280,45
4280,47
4280,45
4281,44
4281,45
4281,44
4281,44
4281,47
4282,46
4282,46
4282,46
4282,47
4282,44
4283,47
4283,48
4283,47
4283,46
4283,48
4284,55
4284,46
4284,50
4284,53
4284,52
4285,51
4285,49
4285,46
4285,49
4285,49
4286,48
4286,53
4286,52
4286,53
4286,48
4287,55
4287,56
4287,54
4287,55
4287,52
