polygonid,elevation
17749,79
17749,74
17749,74
17750,98
17750,86
17750,79
17750,98
17750,82
17751,81
17751,86
17751,82
17751,91
17751,84
17752,89
17752,97
17752,93
17752,92
17752,95
17753,103
17753,105
17753,106
17753,99
17753,102
17754,90
17754,92
17754,94
17754,99
17754,94
17755,86
17755,83
17755,85
17755,89
17755,83
17756,91
17756,103
17756,95
17756,106
17756,88
17757,72
17757,80
17757,80
17757,73
17757,72
17758,68
17758,67
17758,69
17758,72
17758,74
17759,59
17759,58
17759,61
17759,61
17759,64
17760,73
17760,73
17760,65
17760,72
17760,75
17761,81
17761,75
17761,77
17761,76
17761,81
17762,74
17762,78
17762,81
17762,80
17762,78
17763,87
17763,86
17763,88
17763,83
17763,86
17764,77
17764,73
17764,74
17764,74
17764,70
17765,71
17765,73
17765,75
17765,74
17765,71
17766,81
17766,79
17766,77
17766,81
17766,76
17767,80
17767,82
17767,86
17767,81
17767,78
17768,59
17768,70
17768,63
17768,63
17768,62
17769,70
17769,65
