polygonid,elevation
13080,343
13080,348
13080,344
13080,346
13080,338
13081,344
13081,338
13081,338
13081,344
13081,343
13082,349
13082,351
13082,348
13082,354
13082,348
13083,364
13083,381
13083,347
13083,366
13083,348
13084,350
13084,350
13084,350
13084,351
13084,356
13085,335
13085,337
13085,339
13085,331
13085,337
13086,333
13086,334
13086,328
13086,332
13086,329
13087,331
13087,326
13087,328
13087,330
13087,326
13088,337
13088,333
13088,334
13088,332
13088,332
13089,336
13089,334
13089,338
13089,332
13089,326
13090,323
13090,323
13090,324
13090,326
13090,322
13091,323
13091,321
13091,321
13091,321
13091,321
13092,319
13092,328
13092,310
13092,317
13092,316
13093,336
13093,334
13093,331
13093,329
13093,331
13094,331
13094,329
13094,318
13094,330
13094,327
13095,318
13095,317
13095,319
13095,322
13095,317
13096,313
13096,307
13096,311
13096,303
13096,317
13097,322
13097,312
13097,313
13097,310
13097,314
13098,325
13098,321
13098,325
13098,318
13098,317
13099,339
13099,327
13099,333
13099,330
13099,328
13100,317
